time,reader,port,beam,epc,crc,rssi,session,target,power,field,zone,
8/11/15 10:21:26.770,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,45,S0,A,270,3,1,
8/11/15 10:21:26.800,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:36:28.545,192.168.225.66,2,0,E280681000000039129592FA,B112,46,S0,A,270,3,1,
8/11/15 10:21:27.190,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,49,S0,A,270,3,1,
8/11/15 10:36:28.874,192.168.225.66,1,3,3014025512745D8D15000012,234B,47,S0,A,270,2,1,
8/11/15 10:21:27.210,192.168.225.67,2,3,FFFF22222222222222220065,803B,42,S0,A,270,3,1,
8/11/15 10:21:27.240,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,45,S0,A,270,3,1,
8/11/15 10:21:27.241,192.168.225.67,1,3,FFFF22222222222222220037,FA8C,43,S0,A,270,3,1,
8/11/15 10:21:27.249,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:27.360,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,46,S0,A,270,3,1,
8/11/15 10:21:27.361,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:27.370,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:27.390,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,43,S0,A,270,3,1,
8/11/15 10:36:29.065,192.168.225.66,2,3,FFFF22222222222222220100,8F09,44,S0,A,270,2,1,
8/11/15 10:21:27.778,192.168.225.67,2,3,30342FFBC80EA62D07A454C3,7546,45,S0,A,270,3,1,
8/11/15 10:21:27.781,192.168.225.67,2,3,3034031AEC32552D07A604F1,51F0,46,S0,A,270,3,1,
8/11/15 10:21:27.820,192.168.225.67,1,3,30342FFBC80EA62D07A454C3,7546,49,S0,A,270,3,1,
8/11/15 10:21:27.829,192.168.225.67,1,3,E280116060000205288FAAF6,EC2B,46,S0,A,270,3,1,
